date,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,rain_mm,humidity_pct,wind_speed_mps,solar_radiation_mj,et0_mm,rainfall_8day,rainfall_16day,rainfall_30day,temp_8day_mean,temp_30day_mean,temp_8day_max,et0_8day_sum,et0_16day_sum,climatic_water_deficit_8day,aoi_id,latitude,longitude
2023-01-01,30.3,16.3,23.0,0.0,0.0,53,9.9,17.76,3.95,0.0,0.0,0.0,23.0,23.0,30.3,3.95,3.95,3.95,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-02,29.8,17.2,23.0,0.0,0.0,53,10.1,17.76,3.81,0.0,0.0,0.0,23.0,23.0,30.3,7.76,7.76,7.76,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-03,30.4,16.4,23.5,0.0,0.0,55,10.5,17.5,3.88,0.0,0.0,0.0,23.17,23.17,30.4,11.64,11.64,11.64,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-04,30.5,17.9,23.8,0.0,0.0,55,10.4,16.28,3.79,0.0,0.0,0.0,23.32,23.32,30.5,15.43,15.43,15.43,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-05,28.6,19.9,23.7,0.0,0.0,59,14.7,13.94,3.65,0.0,0.0,0.0,23.4,23.4,30.5,19.08,19.08,19.08,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-06,28.9,18.7,23.4,0.0,0.0,60,16.8,16.85,4.15,0.0,0.0,0.0,23.4,23.4,30.5,23.23,23.23,23.23,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-07,27.4,18.6,22.7,0.3,0.3,66,15.6,13.13,3.33,0.3,0.3,0.3,23.3,23.3,30.5,26.56,26.56,26.26,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-08,27.9,17.1,22.0,0.0,0.0,56,9.9,18.0,4.05,0.3,0.3,0.3,23.14,23.14,30.5,30.61,30.61,30.31,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-09,27.4,13.0,20.3,0.0,0.0,46,11.2,18.66,4.15,0.3,0.3,0.3,22.8,22.82,30.5,30.81,34.76,30.51,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-10,28.3,12.3,20.5,0.0,0.0,45,11.2,18.82,4.15,0.3,0.3,0.3,22.49,22.59,30.5,31.15,38.91,30.85,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-11,30.1,12.8,21.4,0.0,0.0,41,9.6,18.91,4.18,0.3,0.3,0.3,22.22,22.48,30.5,31.45,43.09,31.15,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-12,29.8,12.1,20.9,0.0,0.0,45,10.8,18.94,4.36,0.3,0.3,0.3,21.86,22.35,30.1,32.02,47.45,31.72,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-13,29.4,13.3,20.5,0.0,0.0,51,10.6,18.92,4.26,0.3,0.3,0.3,21.46,22.21,30.1,32.63,51.71,32.33,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-14,30.5,13.6,21.2,0.0,0.0,57,9.2,18.79,3.95,0.3,0.3,0.3,21.19,22.14,30.5,32.43,55.66,32.13,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-15,31.3,16.3,22.5,0.0,0.0,52,16.6,18.87,4.31,0.0,0.3,0.3,21.16,22.16,31.3,33.41,59.97,33.41,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-16,31.1,14.7,22.5,0.0,0.0,54,10.8,18.86,4.03,0.0,0.3,0.3,21.22,22.18,31.3,33.39,64.0,33.39,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-17,30.3,14.5,22.4,0.0,0.0,49,9.4,19.07,4.27,0.0,0.3,0.3,21.49,22.19,31.3,33.51,64.32,33.51,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-18,30.9,15.0,22.4,0.0,0.0,48,10.5,19.11,4.2,0.0,0.3,0.3,21.72,22.21,31.3,33.56,64.71,33.56,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-19,31.5,16.4,23.4,0.0,0.0,42,15.3,19.02,4.87,0.0,0.3,0.3,21.98,22.27,31.5,34.25,65.7,34.25,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-20,30.9,16.0,23.2,0.0,0.0,47,17.1,19.05,4.89,0.0,0.3,0.3,22.26,22.32,31.5,34.78,66.8,34.78,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-21,30.4,15.1,23.0,0.0,0.0,48,13.0,19.09,4.33,0.0,0.3,0.3,22.58,22.35,31.5,34.85,67.48,34.85,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-22,30.9,15.6,23.2,0.0,0.0,47,14.5,19.02,4.34,0.0,0.3,0.3,22.82,22.39,31.5,35.24,67.67,35.24,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-23,30.8,14.7,22.5,0.0,0.0,51,10.6,19.22,4.57,0.0,0.0,0.3,22.82,22.39,31.5,35.5,68.91,35.5,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-24,31.4,15.6,23.0,0.2,0.2,55,16.4,17.02,4.28,0.2,0.2,0.5,22.89,22.42,31.5,35.75,69.14,35.55,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-25,29.8,18.5,23.3,0.7,0.7,60,11.0,16.65,3.64,0.9,0.9,1.2,23.0,22.45,31.5,35.12,68.63,34.22,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-26,30.8,18.9,24.2,4.3,4.3,65,11.4,17.95,3.99,5.2,5.2,5.5,23.22,22.52,31.5,34.91,68.47,29.71,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-27,30.9,19.6,24.2,0.0,0.0,50,13.4,19.33,4.82,5.2,5.2,5.5,23.32,22.58,31.4,34.86,69.11,29.66,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-28,30.6,15.4,22.7,0.0,0.0,43,16.4,20.04,5.08,5.2,5.2,5.5,23.26,22.59,31.4,35.05,69.83,29.85,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-29,31.3,15.0,22.5,0.0,0.0,51,21.2,19.97,5.12,5.2,5.2,5.5,23.2,22.58,31.4,35.84,70.69,30.64,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-30,29.8,17.4,22.8,0.0,0.0,65,11.0,19.12,4.08,5.2,5.2,5.5,23.15,22.59,31.4,35.58,70.82,30.38,AOI_NLBC_PUNE,18.1132,74.4997
2023-01-31,29.9,18.0,23.8,0.1,0.1,52,14.8,18.55,4.68,5.3,5.3,5.6,23.31,22.62,31.4,35.69,71.19,30.39,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-01,28.5,19.3,23.5,0.5,0.5,57,16.3,16.57,4.28,5.6,5.8,6.1,23.38,22.63,31.3,35.69,71.44,30.09,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-02,30.1,17.2,23.4,0.0,0.0,53,14.8,19.86,4.98,4.9,5.8,6.1,23.39,22.63,31.3,37.03,72.15,32.13,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-03,29.5,15.8,22.6,0.0,0.0,46,11.3,20.47,4.92,0.6,5.8,6.1,23.19,22.59,31.3,37.96,72.87,37.36,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-04,30.0,15.1,22.2,0.0,0.0,43,10.7,20.7,4.68,0.6,5.8,6.1,22.94,22.54,31.3,37.82,72.68,37.22,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-05,30.4,16.3,22.8,0.0,0.0,44,11.4,20.78,4.62,0.6,5.8,6.1,22.95,22.52,31.3,37.36,72.41,36.76,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-06,31.6,16.1,24.0,0.0,0.0,42,15.3,20.74,5.07,0.6,5.8,5.8,23.14,22.56,31.6,37.31,73.15,36.71,AOI_NLBC_PUNE,18.1132,74.4997
2023-02-07,31.3,17.3,23.7,0.0,0.0,44,10.9,20.72,4.97,0.6,5.8,5.8,23.25,22.62,31.6,38.2,73.78,37.6,AOI_NLBC_PUNE,18.1132,74.4997
